transaction_id,transaction_reference,booking_date,value_date,amount,currency,credit_debit,status,transaction_type,transaction_family,transaction_subfamily,debtor_name,creditor_name,description,debtor_bank_bic,debtor_bank_name,debtor_bank_country,account_iban,account_currency,account_owner,account_servicer_bic,statement_id,statement_date,source_file,opening_balance_amount,opening_balance_currency,opening_balance_credit_debit,opening_balance_date,closing_balance_amount,closing_balance_currency,closing_balance_credit_debit,closing_balance_date,bank_reference,transaction_amount,instructed_amount,debtor_address,source_currency,target_currency,exchange_rate
4,202507112007614225189,2025-07-11,2025-07-14,7000.0,SEK,CRDT,BOOK,PMNT,RCDT,ACDT,MONTA APS,,148763 | 148763,,,,SE1295000099604221208160,SEK,MONTA APS,NDEASESS,2025-07-12-00.08.01-SEK8160,2025-07-12T00:08:01.748+02:00,CA XML Account statement extended_0220976072_20250715.xml,4125341.23,SEK,CRDT,2025-07-11,2844605.57,SEK,CRDT,2025-07-11,202507112007614225189,7000.0,,,,,
5,2025071193110449226811000000,2025-07-11,2025-07-11,83823.43,SEK,CRDT,BOOK,PMNT,RCDT,ACDT,MONTA APS,,STRIPE Monta | STRIPE Monta,,,,SE1295000099604221208160,SEK,MONTA APS,NDEASESS,2025-07-12-00.08.01-SEK8160,2025-07-12T00:08:01.748+02:00,CA XML Account statement extended_0220976072_20250715.xml,4125341.23,SEK,CRDT,2025-07-11,2844605.57,SEK,CRDT,2025-07-11,2025071193110449226811000000,83823.43,,,,,
6,202507111851016845741,2025-07-11,2025-07-11,1127621.78,SEK,DBIT,BOOK,PMNT,ICDT,AUTT,,,55651038647 | 55651038647,NDEASESS,,SE,SE1295000099604221208160,SEK,MONTA APS,NDEASESS,2025-07-12-00.08.01-SEK8160,2025-07-12T00:08:01.748+02:00,CA XML Account statement extended_0220976072_20250715.xml,4125341.23,SEK,CRDT,2025-07-11,2844605.57,SEK,CRDT,2025-07-11,202507111851016845741,1127621.78,,,,,
7,20250711208826541701,2025-07-11,2025-07-11,250000.0,SEK,DBIT,BOOK,PMNT,ICDT,DMCT,,,Betalning BG 5525-0500 WISE EUROPE SA | Betalning BG 5525-0500 WISE EUROPE,NDEASESS,,SE,SE1295000099604221208160,SEK,MONTA APS,NDEASESS,2025-07-12-00.08.01-SEK8160,2025-07-12T00:08:01.748+02:00,CA XML Account statement extended_0220976072_20250715.xml,4125341.23,SEK,CRDT,2025-07-11,2844605.57,SEK,CRDT,2025-07-11,20250711208826541701,250000.0,,,,,
1,2519080864955865,2025-07-10,2025-07-10,59.08,EUR,CRDT,BOOK,PMNT,RCDT,XBCT,Stern + Hafferl Verkehrsgesellschaf,Monta ApS,/DOC/150550/12.41/20250701/DOC/1499 | 29/46.67/20250701,OBKLAT2L,OBERBANK AG,AT,DK8420005036674700,EUR,MONTA APS,NDEADKKK,2025-07-11-00.06.49-EUR4700,2025-07-11T00:06:49.311+02:00,CA XML Account statement extended_0220736246_20250715.xml,627146.75,EUR,CRDT,2025-07-10,831378.27,EUR,CRDT,2025-07-10,7464002026100725,59.08,59.08,,,,
2,BP00000229075279,2025-07-10,2025-07-10,147.11,EUR,CRDT,BOOK,PMNT,RCDT,XBCT,Dr. Barbara Sturm,Monta ApS,145487,BWFBATW1,OESTERREICHISCHE AERZTE- UND APOTHEKERBANK AG,AT,DK8420005036674700,EUR,MONTA APS,NDEADKKK,2025-07-11-00.06.49-EUR4700,2025-07-11T00:06:49.311+02:00,CA XML Account statement extended_0220736246_20250715.xml,627146.75,EUR,CRDT,2025-07-10,831378.27,EUR,CRDT,2025-07-10,7464004018100725,147.11,147.11,,,,
3,2519080864968832,2025-07-10,2025-07-10,2056.38,EUR,CRDT,BOOK,PMNT,RCDT,XBCT,ewe Kuchen GmbH,Monta ApS,Nr.150359/1.7.2025,OBKLAT2L,OBERBANK AG,AT,DK8420005036674700,EUR,MONTA APS,NDEADKKK,2025-07-11-00.06.49-EUR4700,2025-07-11T00:06:49.311+02:00,CA XML Account statement extended_0220736246_20250715.xml,627146.75,EUR,CRDT,2025-07-10,831378.27,EUR,CRDT,2025-07-10,7464000006100725,2056.38,2056.38,,,,
4,J1E19048170024N1,2025-07-10,2025-07-10,697.51,EUR,CRDT,BOOK,PMNT,RCDT,XBCT,ELMI Power GmbH,Monta ApS,Rechnung Referenz-Nr.: 149336,HELADEF1822,FRANKFURTER SPARKASSE,DE,DK8420005036674700,EUR,MONTA APS,NDEADKKK,2025-07-11-00.06.49-EUR4700,2025-07-11T00:06:49.311+02:00,CA XML Account statement extended_0220736246_20250715.xml,627146.75,EUR,CRDT,2025-07-10,831378.27,EUR,CRDT,2025-07-10,7464001772100725,697.51,697.51,,,,
5,1907888480000001,2025-07-10,2025-07-10,189.21,EUR,CRDT,BOOK,PMNT,RCDT,XBCT,SOLETANCHE BACHY FONDATIONS SPECIAL,WATT,145180,BSUIFRPPXXX,CREDIT AGRICOLE CIB,FR,DK8420005036674700,EUR,MONTA APS,NDEADKKK,2025-07-11-00.06.49-EUR4700,2025-07-11T00:06:49.311+02:00,CA XML Account statement extended_0220736246_20250715.xml,627146.75,EUR,CRDT,2025-07-10,831378.27,EUR,CRDT,2025-07-10,7464001751100725,189.21,189.21,21 RUE DU JURA CP 70582 RUNGIS CEDE,,,
6,BCTBKRFU8191,2025-07-10,2025-07-10,93.23,EUR,CRDT,BOOK,PMNT,RCDT,XBCT,LEGAT OWEN LIMITED,MONTA APS,151593 Lidl,BUKBGB22XXX,BARCLAYS BANK UK PLC,GB,DK8420005036674700,EUR,MONTA APS,NDEADKKK,2025-07-11-00.06.49-EUR4700,2025-07-11T00:06:49.311+02:00,CA XML Account statement extended_0220736246_20250715.xml,627146.75,EUR,CRDT,2025-07-10,831378.27,EUR,CRDT,2025-07-10,7464008100100725,93.23,93.23,ALBION HOUSE ALBION STREET CHESTERC,,,
7,3546552748,2025-07-10,2025-07-10,329.09,EUR,CRDT,BOOK,PMNT,RCDT,XBCT,STRIPE TECHNOLOGY EUROPE LTD,MONTA APS,MONTA APS I7O8H3,SXPYDKKKXXX,BANKING CIRCLE DENMARK,DK,DK8420005036674700,EUR,MONTA APS,NDEADKKK,2025-07-11-00.06.49-EUR4700,2025-07-11T00:06:49.311+02:00,CA XML Account statement extended_0220736246_20250715.xml,627146.75,EUR,CRDT,2025-07-10,831378.27,EUR,CRDT,2025-07-10,7464005769100725,329.09,308.02,25-28 NORTH WALL QUAY,CHF,EUR,0.936
8,1532507100011317,2025-07-10,2025-07-10,456.8,EUR,CRDT,BOOK,PMNT,RCDT,XBCT,"U.S. BANK EUROPE DAC, CHERRYWOOD BU",MONTA APS,EMS355071000401567SE NR.2101901567 | GROSS      462.09 MSC      5.29,USBKIE2D,U.S. BANK EUROPE DESIGNATED ACTIVITY COMPANY,IE,DK8420005036674700,EUR,MONTA APS,NDEADKKK,2025-07-11-00.06.49-EUR4700,2025-07-11T00:06:49.311+02:00,CA XML Account statement extended_0220736246_20250715.xml,627146.75,EUR,CRDT,2025-07-10,831378.27,EUR,CRDT,2025-07-10,7464011338100725,456.8,456.8,"Cherrywood Business Park, Loughlins",,,
9,SCTUCBQ6EGYXM1D,2025-07-10,2025-07-10,197793.81,EUR,CRDT,BOOK,PMNT,RCDT,XBCT,SIEMENS AG,Monta ApS,SAG Corp. Units/Services See paymen | t advice 2450499941from 09.07.2025,DABAFIHHXXX,"DANSKE BANK A/S, FINLAND BRANCH",FI,DK8420005036674700,EUR,MONTA APS,NDEADKKK,2025-07-11-00.06.49-EUR4700,2025-07-11T00:06:49.311+02:00,CA XML Account statement extended_0220736246_20250715.xml,627146.75,EUR,CRDT,2025-07-10,831378.27,EUR,CRDT,2025-07-10,7464016551100725,197793.81,197793.81,WERNER-VON-SIEMENS-STR. 1 80333 MUN,,,
10,FR1DK49786246450,2025-07-10,2025-07-10,137.09,EUR,CRDT,BOOK,PMNT,RCDT,XBCT,HUGO BOSS FRANCE SAS,WAAT,IN:125317 IN:132183,DEUTFRPPXXX,DEUTSCHE BANK AG,FR,DK8420005036674700,EUR,MONTA APS,NDEADKKK,2025-07-11-00.06.49-EUR4700,2025-07-11T00:06:49.311+02:00,CA XML Account statement extended_0220736246_20250715.xml,627146.75,EUR,CRDT,2025-07-10,831378.27,EUR,CRDT,2025-07-10,7464017534100725,137.09,137.09,111-113 RUE DE GRENELLE75007 PARIS,,,
11,DE1DK49798680011,2025-07-10,2025-07-10,267.65,EUR,CRDT,BOOK,PMNT,RCDT,XBCT,Hertz Autovermietung GmbH,MONTA APS,20250708EFTDE1V1,DEUTDEFFXXX,DEUTSCHE BANK AG,DE,DK8420005036674700,EUR,MONTA APS,NDEADKKK,2025-07-11-00.06.49-EUR4700,2025-07-11T00:06:49.311+02:00,CA XML Account statement extended_0220736246_20250715.xml,627146.75,EUR,CRDT,2025-07-10,831378.27,EUR,CRDT,2025-07-10,7464021328100725,267.65,267.65,Grenzweg 2,,,
12,F0119131245742R3,2025-07-10,2025-07-10,119.64,EUR,CRDT,BOOK,PMNT,RCDT,XBCT,KALO vor Ort GmbH,Monta ApS,"KD/RG 145312/01.06.2025/ 119,64 Skt | 0,00 /0090021999/",HASPDEHHXXX,HAMBURGER SPARKASSE AG,DE,DK8420005036674700,EUR,MONTA APS,NDEADKKK,2025-07-11-00.06.49-EUR4700,2025-07-11T00:06:49.311+02:00,CA XML Account statement extended_0220736246_20250715.xml,627146.75,EUR,CRDT,2025-07-10,831378.27,EUR,CRDT,2025-07-10,7464017795100725,119.64,119.64,20097 Hamburg,,,
13,2519180865046971,2025-07-10,2025-07-10,31.44,EUR,CRDT,BOOK,PMNT,RCDT,XBCT,Fritz Holter GmbH,Monta Aps,134835 Differenz retour (139821),OBKLAT2L,OBERBANK AG,AT,DK8420005036674700,EUR,MONTA APS,NDEADKKK,2025-07-11-00.06.49-EUR4700,2025-07-11T00:06:49.311+02:00,CA XML Account statement extended_0220736246_20250715.xml,627146.75,EUR,CRDT,2025-07-10,831378.27,EUR,CRDT,2025-07-10,7464020470100725,31.44,31.44,,,,
14,4VXM5367L2FD6NB6,2025-07-10,2025-07-10,13.99,EUR,CRDT,BOOK,PMNT,RCDT,XBCT,Adyen N.V.,Monta ApS,"TX52066570100XT batch 677, MontaAcc | ountECOM",ADYBNL2AXXX,ADYEN N.V.,NL,DK8420005036674700,EUR,MONTA APS,NDEADKKK,2025-07-11-00.06.49-EUR4700,2025-07-11T00:06:49.311+02:00,CA XML Account statement extended_0220736246_20250715.xml,627146.75,EUR,CRDT,2025-07-10,831378.27,EUR,CRDT,2025-07-10,7464016771100725,13.99,13.99,Simon Carmiggeltstraat 1011 DJ AMST,,,
15,2519180865046973,2025-07-10,2025-07-10,20.52,EUR,CRDT,BOOK,PMNT,RCDT,XBCT,Fritz Holter GmbH,Monta Aps,134835 Differenzen retour (135127),OBKLAT2L,OBERBANK AG,AT,DK8420005036674700,EUR,MONTA APS,NDEADKKK,2025-07-11-00.06.49-EUR4700,2025-07-11T00:06:49.311+02:00,CA XML Account statement extended_0220736246_20250715.xml,627146.75,EUR,CRDT,2025-07-10,831378.27,EUR,CRDT,2025-07-10,7464020468100725,20.52,20.52,,,,
16,00139181.0100008,2025-07-10,2025-07-10,53.62,EUR,CRDT,BOOK,PMNT,RCDT,XBCT,SERGIC INVEST,WAAT - MY WAAT - COMPTE NORDEA,145053,CCBPFRPPLIL,BANQUE POPULAIRE DU NORD,FR,DK8420005036674700,EUR,MONTA APS,NDEADKKK,2025-07-11-00.06.49-EUR4700,2025-07-11T00:06:49.311+02:00,CA XML Account statement extended_0220736246_20250715.xml,627146.75,EUR,CRDT,2025-07-10,831378.27,EUR,CRDT,2025-07-10,7464023644100725,53.62,53.62,,,,
17,3200000010000004,2025-07-10,2025-07-10,872.19,EUR,CRDT,BOOK,PMNT,RCDT,XBCT,SVO Tiemann electric GmbH,"Monta ApS, Strandboulevarden 122, 5","149370,149452,149481",VOHADE2HXXX,HANNOVERSCHE VOLKSBANK EG,DE,DK8420005036674700,EUR,MONTA APS,NDEADKKK,2025-07-11-00.06.49-EUR4700,2025-07-11T00:06:49.311+02:00,CA XML Account statement extended_0220736246_20250715.xml,627146.75,EUR,CRDT,2025-07-10,831378.27,EUR,CRDT,2025-07-10,7464019965100725,872.19,872.19,,,,
18,0D81305950000029,2025-07-10,2025-07-10,43.2,EUR,CRDT,BOOK,PMNT,RCDT,XBCT,LEEB GmbH,Monta,/DOC/150392/43.20/20250701,RZOOAT2L680,RAIFFEISENBANK WELS EGEN,AT,DK8420005036674700,EUR,MONTA APS,NDEADKKK,2025-07-11-00.06.49-EUR4700,2025-07-11T00:06:49.311+02:00,CA XML Account statement extended_0220736246_20250715.xml,627146.75,EUR,CRDT,2025-07-10,831378.27,EUR,CRDT,2025-07-10,7464024235100725,43.2,43.2,,,,
19,1532507100001886,2025-07-10,2025-07-10,704.2,EUR,CRDT,BOOK,PMNT,RCDT,XBCT,"U.S. BANK EUROPE DAC, CHERRYWOOD BU",MONTA APS,EMS084071004071567SE NR.2101901567 | GROSS      714.52 MSC     10.32,USBKIE2D,U.S. BANK EUROPE DESIGNATED ACTIVITY COMPANY,IE,DK8420005036674700,EUR,MONTA APS,NDEADKKK,2025-07-11-00.06.49-EUR4700,2025-07-11T00:06:49.311+02:00,CA XML Account statement extended_0220736246_20250715.xml,627146.75,EUR,CRDT,2025-07-10,831378.27,EUR,CRDT,2025-07-10,7464020839100725,704.2,704.2,"Cherrywood Business Park, Loughlins",,,
20,0D81115950000012,2025-07-10,2025-07-10,18.22,EUR,CRDT,BOOK,PMNT,RCDT,XBCT,Stern Holding GmbH,Monta ApS,150544,RZOOAT2L510,RAIFFEISENBANK SALZKAMMERGUT EGEN,AT,DK8420005036674700,EUR,MONTA APS,NDEADKKK,2025-07-11-00.06.49-EUR4700,2025-07-11T00:06:49.311+02:00,CA XML Account statement extended_0220736246_20250715.xml,627146.75,EUR,CRDT,2025-07-10,831378.27,EUR,CRDT,2025-07-10,7464024346100725,18.22,18.22,,,,
21,0D81115950000014,2025-07-10,2025-07-10,15.04,EUR,CRDT,BOOK,PMNT,RCDT,XBCT,Stern Holding GmbH,Monta ApS,150546,RZOOAT2L510,RAIFFEISENBANK SALZKAMMERGUT EGEN,AT,DK8420005036674700,EUR,MONTA APS,NDEADKKK,2025-07-11-00.06.49-EUR4700,2025-07-11T00:06:49.311+02:00,CA XML Account statement extended_0220736246_20250715.xml,627146.75,EUR,CRDT,2025-07-10,831378.27,EUR,CRDT,2025-07-10,7464021786100725,15.04,15.04,,,,
22,-14.06.47.816482,2025-07-10,2025-07-10,112.5,EUR,CRDT,BOOK,PMNT,RCDT,XBCT,ALDI SUD Dienstleistungs-SE + Co. o,Monta ApS,"/OBO/ALDI SE Co. KG, MAH MahlbRE MS | /024 30.4.2025",GENODEDDXXX,DZ BANK AG (FORMERLY WGZ BANK AG),DE,DK8420005036674700,EUR,MONTA APS,NDEADKKK,2025-07-11-00.06.49-EUR4700,2025-07-11T00:06:49.311+02:00,CA XML Account statement extended_0220736246_20250715.xml,627146.75,EUR,CRDT,2025-07-10,831378.27,EUR,CRDT,2025-07-10,7464022873100725,112.5,112.5,,,,
